7bc2b0fc-1c73-11ea-ab04-54bf6468a79d,bottle,2.2873
7cde0d70-1c73-11ea-93a0-54bf6468a79d,can,2.4788
7b93aae4-1c73-11ea-8cff-54bf6468a79d,cup,2.723
7c272180-1c73-11ea-a5cf-54bf6468a79d,worm,3.0283
7ae6f11d-1c73-11ea-b9ad-54bf6468a79d,worm,3.043
7cdadb52-1c73-11ea-b444-54bf6468a79d,dinosaur,3.0907
7b700e9c-1c73-11ea-a397-54bf6468a79d,cockroach,3.0938
7c980c9f-1c73-11ea-b4af-54bf6468a79d,trout,3.1053
7bbf30f6-1c73-11ea-9d78-54bf6468a79d,orange,3.1147
7c913380-1c73-11ea-b137-54bf6468a79d,chair,3.1597
7c39d964-1c73-11ea-8da7-54bf6468a79d,bottle,3.2582
7aee3f24-1c73-11ea-80f4-54bf6468a79d,rocket,3.2853
7bcf04a2-1c73-11ea-b383-54bf6468a79d,table,3.2963
7cc40792-1c73-11ea-86a8-54bf6468a79d,table,3.4039
7b406ca6-1c73-11ea-b8af-54bf6468a79d,cup,3.4059
7c6080d0-1c73-11ea-9ee9-54bf6468a79d,bottle,3.4216
7cb98775-1c73-11ea-98ec-54bf6468a79d,cockroach,3.4624
7c360b6f-1c73-11ea-9ad5-54bf6468a79d,bottle,3.4792
7ccd5002-1c73-11ea-bc77-54bf6468a79d,cockroach,3.5481
7b8ea53c-1c73-11ea-944f-54bf6468a79d,lamp,3.55
7b20506c-1c73-11ea-a1b6-54bf6468a79d,lamp,3.5631
7b3098f8-1c73-11ea-86dc-54bf6468a79d,keyboard,3.5689
7bb17eb6-1c73-11ea-b44b-54bf6468a79d,cockroach,3.5756
7c0c0af5-1c73-11ea-88ad-54bf6468a79d,bottle,3.6196
7ad74466-1c73-11ea-a11e-54bf6468a79d,lamp,3.6246
7c835a43-1c73-11ea-a79a-54bf6468a79d,dinosaur,3.7012
7c1810a0-1c73-11ea-8444-54bf6468a79d,lawn_mower,3.7127
7c9b17c7-1c73-11ea-910e-54bf6468a79d,whale,3.7229
7b22bfc1-1c73-11ea-8edf-54bf6468a79d,bottle,3.7292
7bc8c75c-1c73-11ea-bf5d-54bf6468a79d,telephone,3.7378
7bb109d4-1c73-11ea-a0c4-54bf6468a79d,lawn_mower,3.7665
7bf5f9f5-1c73-11ea-8cd2-54bf6468a79d,lawn_mower,3.771
7c4bf56c-1c73-11ea-ba45-54bf6468a79d,cockroach,3.8143
7b642fdd-1c73-11ea-b19f-54bf6468a79d,lamp,3.8265
7c638bf5-1c73-11ea-b204-54bf6468a79d,trout,3.8327
7bf8b73b-1c73-11ea-9a1e-54bf6468a79d,bottle,3.8354
7c7d6ae2-1c73-11ea-a4ae-54bf6468a79d,telephone,3.8448
7cba7136-1c73-11ea-be45-54bf6468a79d,couch,3.8485
7acb3ebb-1c73-11ea-894c-54bf6468a79d,bottle,3.8642
7c018ad2-1c73-11ea-af19-54bf6468a79d,worm,3.8754
7c4396b8-1c73-11ea-acb6-54bf6468a79d,cockroach,3.8817
7ca3c468-1c73-11ea-96b3-54bf6468a79d,chair,3.8828
